Zone Name,Region,Population,Area Sq Km,Opened On,Is Active
Bulk Zone 0470,South,1470,20.5,2026-06-23,yes
Bulk Zone 0471,North,1471,21.5,2026-06-24,no
Bulk Zone 0472,South,1472,22.5,2026-06-25,yes
Bulk Zone 0473,North,1473,23.5,2026-06-26,yes
Bulk Zone 0474,South,1474,24.5,2026-06-27,no
Bulk Zone 0475,North,1475,25.5,2026-06-28,yes
Bulk Zone 0476,South,1476,26.5,2026-06-01,yes
Bulk Zone 0477,North,1477,27.5,2026-06-02,no
Bulk Zone 0478,South,1478,28.5,2026-06-03,yes
Bulk Zone 0479,North,1479,29.5,2026-06-04,yes
Bulk Zone 0480,South,1480,30.5,2026-06-05,no
Bulk Zone 0481,North,1481,31.5,2026-06-06,yes
Bulk Zone 0482,South,1482,32.5,2026-06-07,yes
Bulk Zone 0483,North,1483,33.5,2026-06-08,no
Bulk Zone 0484,South,1484,34.5,2026-06-09,yes
Bulk Zone 0485,North,1485,35.5,2026-06-10,yes
Bulk Zone 0486,South,1486,36.5,2026-06-11,no
Bulk Zone 0487,North,1487,37.5,2026-06-12,yes
Bulk Zone 0488,South,1488,38.5,2026-06-13,yes
Bulk Zone 0489,North,1489,39.5,2026-06-14,no
Bulk Zone 0490,South,1490,40.5,2026-06-15,yes
Bulk Zone 0491,North,1491,41.5,2026-06-16,yes
Bulk Zone 0492,South,1492,42.5,2026-06-17,no
Bulk Zone 0493,North,1493,43.5,2026-06-18,yes
Bulk Zone 0494,South,1494,44.5,2026-06-19,yes
Bulk Zone 0495,North,1495,45.5,2026-06-20,no
Bulk Zone 0496,South,1496,46.5,2026-06-21,yes
Bulk Zone 0497,North,1497,47.5,2026-06-22,yes
Bulk Zone 0498,South,1498,48.5,2026-06-23,no
Bulk Zone 0499,North,1499,49.5,2026-06-24,yes
Bulk Zone 0500,South,1500,50.5,2026-06-25,yes
Bulk Zone 0501,North,1501,51.5,2026-06-26,no
Bulk Zone 0502,South,1502,52.5,2026-06-27,yes
Bulk Zone 0503,North,1503,53.5,2026-06-28,yes
Bulk Zone 0504,South,1504,54.5,2026-06-01,no
Bulk Zone 0505,North,1505,55.5,2026-06-02,yes
Bulk Zone 0506,South,1506,56.5,2026-06-03,yes
Bulk Zone 0507,North,1507,57.5,2026-06-04,no
Bulk Zone 0508,South,1508,58.5,2026-06-05,yes
Bulk Zone 0509,North,1509,59.5,2026-06-06,yes
Bulk Zone 0510,South,1510,60.5,2026-06-07,no
Bulk Zone 0511,North,1511,61.5,2026-06-08,yes
Bulk Zone 0512,South,1512,62.5,2026-06-09,yes
Bulk Zone 0513,North,1513,63.5,2026-06-10,no
Bulk Zone 0514,South,1514,64.5,2026-06-11,yes
Bulk Zone 0515,North,1515,65.5,2026-06-12,yes
Bulk Zone 0516,South,1516,66.5,2026-06-13,no
Bulk Zone 0517,North,1517,67.5,2026-06-14,yes
Bulk Zone 0518,South,1518,68.5,2026-06-15,yes
Bulk Zone 0519,North,1519,69.5,2026-06-16,no
Bulk Zone 0520,South,1520,70.5,2026-06-17,yes
Bulk Zone 0521,North,1521,71.5,2026-06-18,yes
Bulk Zone 0522,South,1522,72.5,2026-06-19,no
Bulk Zone 0523,North,1523,73.5,2026-06-20,yes
Bulk Zone 0524,South,1524,74.5,2026-06-21,yes
Bulk Zone 0525,North,1525,75.5,2026-06-22,no
Bulk Zone 0526,South,1526,76.5,2026-06-23,yes
Bulk Zone 0527,North,1527,77.5,2026-06-24,yes
Bulk Zone 0528,South,1528,78.5,2026-06-25,no
Bulk Zone 0529,North,1529,79.5,2026-06-26,yes
Bulk Zone 0530,South,1530,80.5,2026-06-27,yes
Bulk Zone 0531,North,1531,81.5,2026-06-28,no
Bulk Zone 0532,South,1532,82.5,2026-06-01,yes
Bulk Zone 0533,North,1533,83.5,2026-06-02,yes
Bulk Zone 0534,South,1534,84.5,2026-06-03,no
Bulk Zone 0535,North,1535,85.5,2026-06-04,yes
Bulk Zone 0536,South,1536,86.5,2026-06-05,yes
Bulk Zone 0537,North,1537,87.5,2026-06-06,no
Bulk Zone 0538,South,1538,88.5,2026-06-07,yes
Bulk Zone 0539,North,1539,89.5,2026-06-08,yes
Bulk Zone 0540,South,1540,0.5,2026-06-09,no
Bulk Zone 0541,North,1541,1.5,2026-06-10,yes
Bulk Zone 0542,South,1542,2.5,2026-06-11,yes
Bulk Zone 0543,North,1543,3.5,2026-06-12,no
Bulk Zone 0544,South,1544,4.5,2026-06-13,yes
Bulk Zone 0545,North,1545,5.5,2026-06-14,yes
Bulk Zone 0546,South,1546,6.5,2026-06-15,no
Bulk Zone 0547,North,1547,7.5,2026-06-16,yes
Bulk Zone 0548,South,1548,8.5,2026-06-17,yes
Bulk Zone 0549,North,1549,9.5,2026-06-18,no
Bulk Zone 0550,South,1550,10.5,2026-06-19,yes
Bulk Zone 0551,North,1551,11.5,2026-06-20,yes
Bulk Zone 0552,South,1552,12.5,2026-06-21,no
Bulk Zone 0553,North,1553,13.5,2026-06-22,yes
Bulk Zone 0554,South,1554,14.5,2026-06-23,yes
Bulk Zone 0555,North,1555,15.5,2026-06-24,no
Bulk Zone 0556,South,1556,16.5,2026-06-25,yes
Bulk Zone 0557,North,1557,17.5,2026-06-26,yes
Bulk Zone 0558,South,1558,18.5,2026-06-27,no
Bulk Zone 0559,North,1559,19.5,2026-06-28,yes
Bulk Zone 0560,South,1560,20.5,2026-06-01,yes
Bulk Zone 0561,North,1561,21.5,2026-06-02,no
Bulk Zone 0562,South,1562,22.5,2026-06-03,yes
Bulk Zone 0563,North,1563,23.5,2026-06-04,yes
Bulk Zone 0564,South,1564,24.5,2026-06-05,no
Bulk Zone 0565,North,1565,25.5,2026-06-06,yes
Bulk Zone 0566,South,1566,26.5,2026-06-07,yes
Bulk Zone 0567,North,1567,27.5,2026-06-08,no
Bulk Zone 0568,South,1568,28.5,2026-06-09,yes
Bulk Zone 0569,North,1569,29.5,2026-06-10,yes
Bulk Zone 0570,South,1570,30.5,2026-06-11,no
Bulk Zone 0571,North,1571,31.5,2026-06-12,yes
Bulk Zone 0572,South,1572,32.5,2026-06-13,yes
Bulk Zone 0573,North,1573,33.5,2026-06-14,no
Bulk Zone 0574,South,1574,34.5,2026-06-15,yes
Bulk Zone 0575,North,1575,35.5,2026-06-16,yes
Bulk Zone 0576,South,1576,36.5,2026-06-17,no
Bulk Zone 0577,North,1577,37.5,2026-06-18,yes
Bulk Zone 0578,South,1578,38.5,2026-06-19,yes
Bulk Zone 0579,North,1579,39.5,2026-06-20,no
Bulk Zone 0580,South,1580,40.5,2026-06-21,yes
Bulk Zone 0581,North,1581,41.5,2026-06-22,yes
Bulk Zone 0582,South,1582,42.5,2026-06-23,no
Bulk Zone 0583,North,1583,43.5,2026-06-24,yes
Bulk Zone 0584,South,1584,44.5,2026-06-25,yes
Bulk Zone 0585,North,1585,45.5,2026-06-26,no
Bulk Zone 0586,South,1586,46.5,2026-06-27,yes
Bulk Zone 0587,North,1587,47.5,2026-06-28,yes
Bulk Zone 0588,South,1588,48.5,2026-06-01,no
Bulk Zone 0589,North,1589,49.5,2026-06-02,yes
Bulk Zone 0590,South,1590,50.5,2026-06-03,yes
Bulk Zone 0591,North,1591,51.5,2026-06-04,no
Bulk Zone 0592,South,1592,52.5,2026-06-05,yes
Bulk Zone 0593,North,1593,53.5,2026-06-06,yes
Bulk Zone 0594,South,1594,54.5,2026-06-07,no
Bulk Zone 0595,North,1595,55.5,2026-06-08,yes
Bulk Zone 0596,South,1596,56.5,2026-06-09,yes
Bulk Zone 0597,North,1597,57.5,2026-06-10,no
Bulk Zone 0598,South,1598,58.5,2026-06-11,yes
Bulk Zone 0599,North,1599,59.5,2026-06-12,yes
Bulk Zone 0600,South,1600,60.5,2026-06-13,no
Bulk Zone 0601,North,1601,61.5,2026-06-14,yes
Bulk Zone 0602,South,1602,62.5,2026-06-15,yes
Bulk Zone 0603,North,1603,63.5,2026-06-16,no
Bulk Zone 0604,South,1604,64.5,2026-06-17,yes
Bulk Zone 0605,North,1605,65.5,2026-06-18,yes
Bulk Zone 0606,South,1606,66.5,2026-06-19,no
Bulk Zone 0607,North,1607,67.5,2026-06-20,yes
Bulk Zone 0608,South,1608,68.5,2026-06-21,yes
Bulk Zone 0609,North,1609,69.5,2026-06-22,no
Bulk Zone 0610,South,1610,70.5,2026-06-23,yes
Bulk Zone 0611,North,1611,71.5,2026-06-24,yes
Bulk Zone 0612,South,1612,72.5,2026-06-25,no
Bulk Zone 0613,North,1613,73.5,2026-06-26,yes
Bulk Zone 0614,South,1614,74.5,2026-06-27,yes
Bulk Zone 0615,North,1615,75.5,2026-06-28,no
Bulk Zone 0616,South,1616,76.5,2026-06-01,yes
Bulk Zone 0617,North,1617,77.5,2026-06-02,yes
Bulk Zone 0618,South,1618,78.5,2026-06-03,no
Bulk Zone 0619,North,1619,79.5,2026-06-04,yes
Bulk Zone 0620,South,1620,80.5,2026-06-05,yes
Bulk Zone 0621,North,1621,81.5,2026-06-06,no
Bulk Zone 0622,South,1622,82.5,2026-06-07,yes
Bulk Zone 0623,North,1623,83.5,2026-06-08,yes
Bulk Zone 0624,South,1624,84.5,2026-06-09,no
Bulk Zone 0625,North,1625,85.5,2026-06-10,yes
Bulk Zone 0626,South,1626,86.5,2026-06-11,yes
Bulk Zone 0627,North,1627,87.5,2026-06-12,no
Bulk Zone 0628,South,1628,88.5,2026-06-13,yes
Bulk Zone 0629,North,1629,89.5,2026-06-14,yes
Bulk Zone 0630,South,1630,0.5,2026-06-15,no
Bulk Zone 0631,North,1631,1.5,2026-06-16,yes
Bulk Zone 0632,South,1632,2.5,2026-06-17,yes
Bulk Zone 0633,North,1633,3.5,2026-06-18,no
Bulk Zone 0634,South,1634,4.5,2026-06-19,yes
Bulk Zone 0635,North,1635,5.5,2026-06-20,yes
Bulk Zone 0636,South,1636,6.5,2026-06-21,no
Bulk Zone 0637,North,1637,7.5,2026-06-22,yes
Bulk Zone 0638,South,1638,8.5,2026-06-23,yes
Bulk Zone 0639,North,1639,9.5,2026-06-24,no
Bulk Zone 0640,South,1640,10.5,2026-06-25,yes
Bulk Zone 0641,North,1641,11.5,2026-06-26,yes
Bulk Zone 0642,South,1642,12.5,2026-06-27,no
Bulk Zone 0643,North,1643,13.5,2026-06-28,yes
Bulk Zone 0644,South,1644,14.5,2026-06-01,yes
Bulk Zone 0645,North,1645,15.5,2026-06-02,no
Bulk Zone 0646,South,1646,16.5,2026-06-03,yes
Bulk Zone 0647,North,1647,17.5,2026-06-04,yes
Bulk Zone 0648,South,1648,18.5,2026-06-05,no
Bulk Zone 0649,North,1649,19.5,2026-06-06,yes
Bulk Zone 0650,South,1650,20.5,2026-06-07,yes
Bulk Zone 0651,North,1651,21.5,2026-06-08,no
Bulk Zone 0652,South,1652,22.5,2026-06-09,yes
Bulk Zone 0653,North,1653,23.5,2026-06-10,yes
Bulk Zone 0654,South,1654,24.5,2026-06-11,no
Bulk Zone 0655,North,1655,25.5,2026-06-12,yes
Bulk Zone 0656,South,1656,26.5,2026-06-13,yes
Bulk Zone 0657,North,1657,27.5,2026-06-14,no
Bulk Zone 0658,South,1658,28.5,2026-06-15,yes
Bulk Zone 0659,North,1659,29.5,2026-06-16,yes
Bulk Zone 0660,South,1660,30.5,2026-06-17,no
Bulk Zone 0661,North,1661,31.5,2026-06-18,yes
Bulk Zone 0662,South,1662,32.5,2026-06-19,yes
Bulk Zone 0663,North,1663,33.5,2026-06-20,no
Bulk Zone 0664,South,1664,34.5,2026-06-21,yes
Bulk Zone 0665,North,1665,35.5,2026-06-22,yes
Bulk Zone 0666,South,1666,36.5,2026-06-23,no
Bulk Zone 0667,North,1667,37.5,2026-06-24,yes
Bulk Zone 0668,South,1668,38.5,2026-06-25,yes
Bulk Zone 0669,North,1669,39.5,2026-06-26,no
Bulk Zone 0670,South,1670,40.5,2026-06-27,yes
Bulk Zone 0671,North,1671,41.5,2026-06-28,yes
Bulk Zone 0672,South,1672,42.5,2026-06-01,no
Bulk Zone 0673,North,1673,43.5,2026-06-02,yes
Bulk Zone 0674,South,1674,44.5,2026-06-03,yes
Bulk Zone 0675,North,1675,45.5,2026-06-04,no
Bulk Zone 0676,South,1676,46.5,2026-06-05,yes
Bulk Zone 0677,North,1677,47.5,2026-06-06,yes
Bulk Zone 0678,South,1678,48.5,2026-06-07,no
Bulk Zone 0679,North,1679,49.5,2026-06-08,yes
Bulk Zone 0680,South,1680,50.5,2026-06-09,yes
Bulk Zone 0681,North,1681,51.5,2026-06-10,no
Bulk Zone 0682,South,1682,52.5,2026-06-11,yes
Bulk Zone 0683,North,1683,53.5,2026-06-12,yes
Bulk Zone 0684,South,1684,54.5,2026-06-13,no
Bulk Zone 0685,North,1685,55.5,2026-06-14,yes
Bulk Zone 0686,South,1686,56.5,2026-06-15,yes
Bulk Zone 0687,North,1687,57.5,2026-06-16,no
Bulk Zone 0688,South,1688,58.5,2026-06-17,yes
Bulk Zone 0689,North,1689,59.5,2026-06-18,yes
Bulk Zone 0690,South,1690,60.5,2026-06-19,no
Bulk Zone 0691,North,1691,61.5,2026-06-20,yes
Bulk Zone 0692,South,1692,62.5,2026-06-21,yes
Bulk Zone 0693,North,1693,63.5,2026-06-22,no
Bulk Zone 0694,South,1694,64.5,2026-06-23,yes
Bulk Zone 0695,North,1695,65.5,2026-06-24,yes
Bulk Zone 0696,South,1696,66.5,2026-06-25,no
Bulk Zone 0697,North,1697,67.5,2026-06-26,yes
Bulk Zone 0698,South,1698,68.5,2026-06-27,yes
Bulk Zone 0699,North,1699,69.5,2026-06-28,no
Bulk Zone 0700,South,1700,70.5,2026-06-01,yes
Bulk Zone 0701,North,1701,71.5,2026-06-02,yes
Bulk Zone 0702,South,1702,72.5,2026-06-03,no
Bulk Zone 0703,North,1703,73.5,2026-06-04,yes
Bulk Zone 0704,South,1704,74.5,2026-06-05,yes
Bulk Zone 0705,North,1705,75.5,2026-06-06,no
Bulk Zone 0706,South,1706,76.5,2026-06-07,yes
Bulk Zone 0707,North,1707,77.5,2026-06-08,yes
Bulk Zone 0708,South,1708,78.5,2026-06-09,no
Bulk Zone 0709,North,1709,79.5,2026-06-10,yes
Bulk Zone 0710,South,1710,80.5,2026-06-11,yes
Bulk Zone 0711,North,1711,81.5,2026-06-12,no
Bulk Zone 0712,South,1712,82.5,2026-06-13,yes
Bulk Zone 0713,North,1713,83.5,2026-06-14,yes
Bulk Zone 0714,South,1714,84.5,2026-06-15,no
Bulk Zone 0715,North,1715,85.5,2026-06-16,yes
Bulk Zone 0716,South,1716,86.5,2026-06-17,yes
Bulk Zone 0717,North,1717,87.5,2026-06-18,no
Bulk Zone 0718,South,1718,88.5,2026-06-19,yes
Bulk Zone 0719,North,1719,89.5,2026-06-20,yes
Bulk Zone 0720,South,1720,0.5,2026-06-21,no
Bulk Zone 0721,North,1721,1.5,2026-06-22,yes
Bulk Zone 0722,South,1722,2.5,2026-06-23,yes
Bulk Zone 0723,North,1723,3.5,2026-06-24,no
Bulk Zone 0724,South,1724,4.5,2026-06-25,yes
Bulk Zone 0725,North,1725,5.5,2026-06-26,yes
Bulk Zone 0726,South,1726,6.5,2026-06-27,no
Bulk Zone 0727,North,1727,7.5,2026-06-28,yes
Bulk Zone 0728,South,1728,8.5,2026-06-01,yes
Bulk Zone 0729,North,1729,9.5,2026-06-02,no
Bulk Zone 0730,South,1730,10.5,2026-06-03,yes
Bulk Zone 0731,North,1731,11.5,2026-06-04,yes
Bulk Zone 0732,South,1732,12.5,2026-06-05,no
Bulk Zone 0733,North,1733,13.5,2026-06-06,yes
Bulk Zone 0734,South,1734,14.5,2026-06-07,yes
Bulk Zone 0735,North,1735,15.5,2026-06-08,no
Bulk Zone 0736,South,1736,16.5,2026-06-09,yes
Bulk Zone 0737,North,1737,17.5,2026-06-10,yes
Bulk Zone 0738,South,1738,18.5,2026-06-11,no
Bulk Zone 0739,North,1739,19.5,2026-06-12,yes
Bulk Zone 0740,South,1740,20.5,2026-06-13,yes
Bulk Zone 0741,North,1741,21.5,2026-06-14,no
Bulk Zone 0742,South,1742,22.5,2026-06-15,yes
Bulk Zone 0743,North,1743,23.5,2026-06-16,yes
Bulk Zone 0744,South,1744,24.5,2026-06-17,no
Bulk Zone 0745,North,1745,25.5,2026-06-18,yes
Bulk Zone 0746,South,1746,26.5,2026-06-19,yes
Bulk Zone 0747,North,1747,27.5,2026-06-20,no
Bulk Zone 0748,South,1748,28.5,2026-06-21,yes
Bulk Zone 0749,North,1749,29.5,2026-06-22,yes
Bulk Zone 0750,South,1750,30.5,2026-06-23,no
Bulk Zone 0751,North,1751,31.5,2026-06-24,yes
Bulk Zone 0752,South,1752,32.5,2026-06-25,yes
Bulk Zone 0753,North,1753,33.5,2026-06-26,no
Bulk Zone 0754,South,1754,34.5,2026-06-27,yes
Bulk Zone 0755,North,1755,35.5,2026-06-28,yes
Bulk Zone 0756,South,1756,36.5,2026-06-01,no
Bulk Zone 0757,North,1757,37.5,2026-06-02,yes
Bulk Zone 0758,South,1758,38.5,2026-06-03,yes
Bulk Zone 0759,North,1759,39.5,2026-06-04,no
Bulk Zone 0760,South,1760,40.5,2026-06-05,yes
Bulk Zone 0761,North,1761,41.5,2026-06-06,yes
Bulk Zone 0762,South,1762,42.5,2026-06-07,no
Bulk Zone 0763,North,1763,43.5,2026-06-08,yes
Bulk Zone 0764,South,1764,44.5,2026-06-09,yes
Bulk Zone 0765,North,1765,45.5,2026-06-10,no
Bulk Zone 0766,South,1766,46.5,2026-06-11,yes
Bulk Zone 0767,North,1767,47.5,2026-06-12,yes
Bulk Zone 0768,South,1768,48.5,2026-06-13,no
Bulk Zone 0769,North,1769,49.5,2026-06-14,yes
Bulk Zone 0770,South,1770,50.5,2026-06-15,yes
Bulk Zone 0771,North,1771,51.5,2026-06-16,no
Bulk Zone 0772,South,1772,52.5,2026-06-17,yes
Bulk Zone 0773,North,1773,53.5,2026-06-18,yes
Bulk Zone 0774,South,1774,54.5,2026-06-19,no
Bulk Zone 0775,North,1775,55.5,2026-06-20,yes
Bulk Zone 0776,South,1776,56.5,2026-06-21,yes
Bulk Zone 0777,North,1777,57.5,2026-06-22,no
Bulk Zone 0778,South,1778,58.5,2026-06-23,yes
Bulk Zone 0779,North,1779,59.5,2026-06-24,yes
Bulk Zone 0780,South,1780,60.5,2026-06-25,no
Bulk Zone 0781,North,1781,61.5,2026-06-26,yes
Bulk Zone 0782,South,1782,62.5,2026-06-27,yes
Bulk Zone 0783,North,1783,63.5,2026-06-28,no
Bulk Zone 0784,South,1784,64.5,2026-06-01,yes
Bulk Zone 0785,North,1785,65.5,2026-06-02,yes
Bulk Zone 0786,South,1786,66.5,2026-06-03,no
Bulk Zone 0787,North,1787,67.5,2026-06-04,yes
Bulk Zone 0788,South,1788,68.5,2026-06-05,yes
Bulk Zone 0789,North,1789,69.5,2026-06-06,no
Bulk Zone 0790,South,1790,70.5,2026-06-07,yes
Bulk Zone 0791,North,1791,71.5,2026-06-08,yes
Bulk Zone 0792,South,1792,72.5,2026-06-09,no
Bulk Zone 0793,North,1793,73.5,2026-06-10,yes
Bulk Zone 0794,South,1794,74.5,2026-06-11,yes
Bulk Zone 0795,North,1795,75.5,2026-06-12,no
Bulk Zone 0796,South,1796,76.5,2026-06-13,yes
Bulk Zone 0797,North,1797,77.5,2026-06-14,yes
Bulk Zone 0798,South,1798,78.5,2026-06-15,no
Bulk Zone 0799,North,1799,79.5,2026-06-16,yes
Bulk Zone 0800,South,1800,80.5,2026-06-17,yes
Bulk Zone 0801,North,1801,81.5,2026-06-18,no
Bulk Zone 0802,South,1802,82.5,2026-06-19,yes
Bulk Zone 0803,North,1803,83.5,2026-06-20,yes
Bulk Zone 0804,South,1804,84.5,2026-06-21,no
Bulk Zone 0805,North,1805,85.5,2026-06-22,yes
Bulk Zone 0806,South,1806,86.5,2026-06-23,yes
Bulk Zone 0807,North,1807,87.5,2026-06-24,no
Bulk Zone 0808,South,1808,88.5,2026-06-25,yes
Bulk Zone 0809,North,1809,89.5,2026-06-26,yes
Bulk Zone 0810,South,1810,0.5,2026-06-27,no
Bulk Zone 0811,North,1811,1.5,2026-06-28,yes
Bulk Zone 0812,South,1812,2.5,2026-06-01,yes
Bulk Zone 0813,North,1813,3.5,2026-06-02,no
Bulk Zone 0814,South,1814,4.5,2026-06-03,yes
Bulk Zone 0815,North,1815,5.5,2026-06-04,yes
Bulk Zone 0816,South,1816,6.5,2026-06-05,no
Bulk Zone 0817,North,1817,7.5,2026-06-06,yes
Bulk Zone 0818,South,1818,8.5,2026-06-07,yes
Bulk Zone 0819,North,1819,9.5,2026-06-08,no
Bulk Zone 0820,South,1820,10.5,2026-06-09,yes
Bulk Zone 0821,North,1821,11.5,2026-06-10,yes
Bulk Zone 0822,South,1822,12.5,2026-06-11,no
Bulk Zone 0823,North,1823,13.5,2026-06-12,yes
Bulk Zone 0824,South,1824,14.5,2026-06-13,yes
Bulk Zone 0825,North,1825,15.5,2026-06-14,no
Bulk Zone 0826,South,1826,16.5,2026-06-15,yes
Bulk Zone 0827,North,1827,17.5,2026-06-16,yes
Bulk Zone 0828,South,1828,18.5,2026-06-17,no
Bulk Zone 0829,North,1829,19.5,2026-06-18,yes
Bulk Zone 0830,South,1830,20.5,2026-06-19,yes
Bulk Zone 0831,North,1831,21.5,2026-06-20,no
Bulk Zone 0832,South,1832,22.5,2026-06-21,yes
Bulk Zone 0833,North,1833,23.5,2026-06-22,yes
Bulk Zone 0834,South,1834,24.5,2026-06-23,no
Bulk Zone 0835,North,1835,25.5,2026-06-24,yes
Bulk Zone 0836,South,1836,26.5,2026-06-25,yes
Bulk Zone 0837,North,1837,27.5,2026-06-26,no
Bulk Zone 0838,South,1838,28.5,2026-06-27,yes
Bulk Zone 0839,North,1839,29.5,2026-06-28,yes
Bulk Zone 0840,South,1840,30.5,2026-06-01,no
Bulk Zone 0841,North,1841,31.5,2026-06-02,yes
Bulk Zone 0842,South,1842,32.5,2026-06-03,yes
Bulk Zone 0843,North,1843,33.5,2026-06-04,no
Bulk Zone 0844,South,1844,34.5,2026-06-05,yes
Bulk Zone 0845,North,1845,35.5,2026-06-06,yes
Bulk Zone 0846,South,1846,36.5,2026-06-07,no
Bulk Zone 0847,North,1847,37.5,2026-06-08,yes
Bulk Zone 0848,South,1848,38.5,2026-06-09,yes
Bulk Zone 0849,North,1849,39.5,2026-06-10,no
Bulk Zone 0850,South,1850,40.5,2026-06-11,yes
Bulk Zone 0851,North,1851,41.5,2026-06-12,yes
Bulk Zone 0852,South,1852,42.5,2026-06-13,no
Bulk Zone 0853,North,1853,43.5,2026-06-14,yes
Bulk Zone 0854,South,1854,44.5,2026-06-15,yes
Bulk Zone 0855,North,1855,45.5,2026-06-16,no
Bulk Zone 0856,South,1856,46.5,2026-06-17,yes
Bulk Zone 0857,North,1857,47.5,2026-06-18,yes
Bulk Zone 0858,South,1858,48.5,2026-06-19,no
Bulk Zone 0859,North,1859,49.5,2026-06-20,yes
Bulk Zone 0860,South,1860,50.5,2026-06-21,yes
Bulk Zone 0861,North,1861,51.5,2026-06-22,no
Bulk Zone 0862,South,1862,52.5,2026-06-23,yes
Bulk Zone 0863,North,1863,53.5,2026-06-24,yes
Bulk Zone 0864,South,1864,54.5,2026-06-25,no
Bulk Zone 0865,North,1865,55.5,2026-06-26,yes
Bulk Zone 0866,South,1866,56.5,2026-06-27,yes
Bulk Zone 0867,North,1867,57.5,2026-06-28,no
Bulk Zone 0868,South,1868,58.5,2026-06-01,yes
Bulk Zone 0869,North,1869,59.5,2026-06-02,yes
Bulk Zone 0870,South,1870,60.5,2026-06-03,no
Bulk Zone 0871,North,1871,61.5,2026-06-04,yes
Bulk Zone 0872,South,1872,62.5,2026-06-05,yes
Bulk Zone 0873,North,1873,63.5,2026-06-06,no
Bulk Zone 0874,South,1874,64.5,2026-06-07,yes
Bulk Zone 0875,North,1875,65.5,2026-06-08,yes
Bulk Zone 0876,South,1876,66.5,2026-06-09,no
Bulk Zone 0877,North,1877,67.5,2026-06-10,yes
Bulk Zone 0878,South,1878,68.5,2026-06-11,yes
Bulk Zone 0879,North,1879,69.5,2026-06-12,no
Bulk Zone 0880,South,1880,70.5,2026-06-13,yes
Bulk Zone 0881,North,1881,71.5,2026-06-14,yes
Bulk Zone 0882,South,1882,72.5,2026-06-15,no
Bulk Zone 0883,North,1883,73.5,2026-06-16,yes
Bulk Zone 0884,South,1884,74.5,2026-06-17,yes
Bulk Zone 0885,North,1885,75.5,2026-06-18,no
Bulk Zone 0886,South,1886,76.5,2026-06-19,yes
Bulk Zone 0887,North,1887,77.5,2026-06-20,yes
Bulk Zone 0888,South,1888,78.5,2026-06-21,no
Bulk Zone 0889,North,1889,79.5,2026-06-22,yes
Bulk Zone 0890,South,1890,80.5,2026-06-23,yes
Bulk Zone 0891,North,1891,81.5,2026-06-24,no
Bulk Zone 0892,South,1892,82.5,2026-06-25,yes
Bulk Zone 0893,North,1893,83.5,2026-06-26,yes
Bulk Zone 0894,South,1894,84.5,2026-06-27,no
Bulk Zone 0895,North,1895,85.5,2026-06-28,yes
Bulk Zone 0896,South,1896,86.5,2026-06-01,yes
Bulk Zone 0897,North,1897,87.5,2026-06-02,no
Bulk Zone 0898,South,1898,88.5,2026-06-03,yes
Bulk Zone 0899,North,1899,89.5,2026-06-04,yes
Bulk Zone 0900,South,1900,0.5,2026-06-05,no
Bulk Zone 0901,North,1901,1.5,2026-06-06,yes
Bulk Zone 0902,South,1902,2.5,2026-06-07,yes
Bulk Zone 0903,North,1903,3.5,2026-06-08,no
Bulk Zone 0904,South,1904,4.5,2026-06-09,yes
Bulk Zone 0905,North,1905,5.5,2026-06-10,yes
Bulk Zone 0906,South,1906,6.5,2026-06-11,no
Bulk Zone 0907,North,1907,7.5,2026-06-12,yes
Bulk Zone 0908,South,1908,8.5,2026-06-13,yes
Bulk Zone 0909,North,1909,9.5,2026-06-14,no
Bulk Zone 0910,South,1910,10.5,2026-06-15,yes
Bulk Zone 0911,North,1911,11.5,2026-06-16,yes
Bulk Zone 0912,South,1912,12.5,2026-06-17,no
Bulk Zone 0913,North,1913,13.5,2026-06-18,yes
Bulk Zone 0914,South,1914,14.5,2026-06-19,yes
Bulk Zone 0915,North,1915,15.5,2026-06-20,no
Bulk Zone 0916,South,1916,16.5,2026-06-21,yes
Bulk Zone 0917,North,1917,17.5,2026-06-22,yes
Bulk Zone 0918,South,1918,18.5,2026-06-23,no
Bulk Zone 0919,North,1919,19.5,2026-06-24,yes
Bulk Zone 0920,South,1920,20.5,2026-06-25,yes
Bulk Zone 0921,North,1921,21.5,2026-06-26,no
Bulk Zone 0922,South,1922,22.5,2026-06-27,yes
Bulk Zone 0923,North,1923,23.5,2026-06-28,yes
Bulk Zone 0924,South,1924,24.5,2026-06-01,no
Bulk Zone 0925,North,1925,25.5,2026-06-02,yes
Bulk Zone 0926,South,1926,26.5,2026-06-03,yes
Bulk Zone 0927,North,1927,27.5,2026-06-04,no
Bulk Zone 0928,South,1928,28.5,2026-06-05,yes
Bulk Zone 0929,North,1929,29.5,2026-06-06,yes
Bulk Zone 0930,South,1930,30.5,2026-06-07,no
Bulk Zone 0931,North,1931,31.5,2026-06-08,yes
Bulk Zone 0932,South,1932,32.5,2026-06-09,yes
Bulk Zone 0933,North,1933,33.5,2026-06-10,no
Bulk Zone 0934,South,1934,34.5,2026-06-11,yes
Bulk Zone 0935,North,1935,35.5,2026-06-12,yes
Bulk Zone 0936,South,1936,36.5,2026-06-13,no
Bulk Zone 0937,North,1937,37.5,2026-06-14,yes
Bulk Zone 0938,South,1938,38.5,2026-06-15,yes
Bulk Zone 0939,North,1939,39.5,2026-06-16,no
